"Var1" "Freq" "Perc" "Cumul"
"19533" "performance" 238 0.000226708121866094 0.633558707878012
"17473" "music" 237 0.000225755566732202 0.633784463444744
"27654" "turn" 236 0.000224803011598311 0.634009266456342
"814" "amazing" 235 0.00022385045646442 0.634233116912807
"4950" "coach" 235 0.00022385045646442 0.634456967369271
"21166" "quite" 235 0.00022385045646442 0.634680817825736
"4335" "character" 233 0.000221945346196638 0.634902763171932
"16907" "miss" 233 0.000221945346196638 0.635124708518129
"18475" "ohio" 233 0.000221945346196638 0.635346653864326
"10714" "general" 232 0.000220992791062747 0.635567646655388
"15626" "louis" 232 0.000220992791062747 0.635788639446451
"12265" "history" 231 0.000220040235928856 0.63600867968238
"8127" "east" 230 0.000219087680794964 0.636227767363175
"17316" "moved" 230 0.000219087680794964 0.63644685504397
"24615" "sometimes" 230 0.000219087680794964 0.636665942724765
"26710" "third" 230 0.000219087680794964 0.63688503040556
"22119" "results" 229 0.000218135125661073 0.637103165531221
